fecha_hora,imagen_coord_x,imagen_coord_y
2025-06-17 11:03:17,22,22
2025-06-17 11:03:23,22,22
2025-06-17 11:03:28,22,22
2025-06-17 11:03:33,22,22
2025-06-17 11:03:38,22,22
2025-06-17 11:03:43,22,22
2025-06-17 11:03:48,22,22
2025-06-17 11:03:53,22,22
2025-06-17 11:03:58,22,22
2025-06-17 11:04:03,22,22
2025-06-17 11:04:08,22,22
2025-06-17 11:04:13,22,22
2025-06-17 11:04:18,22,22
2025-06-17 11:04:23,22,22
2025-06-17 11:04:28,22,22
2025-06-17 11:04:33,22,22
2025-06-17 11:04:38,22,22
2025-06-17 11:04:43,22,22
2025-06-17 11:04:48,22,22
2025-06-17 11:04:53,22,22
2025-06-17 11:04:58,22,22
2025-06-17 11:05:03,22,22
2025-06-17 11:05:08,22,22
2025-06-17 11:05:13,22,22
2025-06-17 11:05:18,22,22
2025-06-17 11:05:23,22,22
2025-06-17 11:05:28,22,22
2025-06-17 11:05:33,22,22
2025-06-17 11:05:38,22,22
2025-06-17 11:05:43,22,22
2025-06-17 11:05:48,22,22
2025-06-17 11:08:14,22,23
2025-06-17 11:08:44,22,23
2025-06-17 11:09:14,22,23
2025-06-17 11:09:44,22,23
2025-06-17 11:10:14,22,23
2025-06-17 11:10:44,22,23
2025-06-17 11:11:14,22,23
2025-06-17 11:11:45,22,23
2025-06-17 11:12:15,22,23
2025-06-17 11:12:45,22,23
2025-06-17 11:13:15,22,23
2025-06-17 11:13:45,22,23
2025-06-17 11:14:15,22,23
2025-06-17 11:14:45,22,23
2025-06-17 11:15:15,22,23
2025-06-17 11:15:45,22,23
2025-06-17 11:16:15,22,23
2025-06-17 12:06:47,24,27
2025-06-17 12:06:52,24,27
2025-06-17 12:06:57,24,27
2025-06-17 12:07:02,24,27
2025-06-17 12:07:07,24,27
2025-06-17 12:07:12,24,27
2025-06-17 12:07:17,24,27
2025-06-17 12:07:22,24,27
2025-06-17 12:07:27,24,27
2025-06-17 12:07:32,24,27
2025-06-17 12:07:37,24,27
2025-06-17 12:07:42,24,27
2025-06-17 12:07:47,24,27
2025-06-17 12:07:52,24,27
2025-06-17 12:07:57,24,27
2025-06-17 12:08:02,24,27
2025-06-17 12:08:07,24,27
2025-06-17 12:08:12,24,27
2025-06-17 12:08:17,24,27
2025-06-17 12:08:22,24,27
2025-06-17 12:08:27,24,27
2025-06-17 12:08:32,24,27
2025-06-17 12:08:37,24,27
2025-06-17 12:08:42,24,27
2025-06-17 12:08:47,24,27
2025-06-17 12:08:52,24,27
2025-06-17 12:08:57,24,27
2025-06-17 12:09:02,24,27
2025-06-17 12:09:07,24,27
2025-06-17 12:09:12,24,27
2025-06-17 12:09:17,24,27
2025-06-17 12:09:23,24,27
2025-06-17 12:09:28,24,27
2025-06-17 12:09:33,24,27
2025-06-17 12:09:38,24,27
2025-06-17 12:09:43,24,27
2025-06-17 12:09:48,24,27
2025-06-17 12:09:53,24,27
2025-06-17 12:09:58,24,27
2025-06-17 12:10:03,24,27
2025-06-17 12:10:08,24,27
2025-06-17 12:10:13,24,27
2025-06-17 12:10:18,24,27
2025-06-17 12:10:23,24,27
2025-06-17 12:10:28,24,27
2025-06-17 12:10:33,24,27
2025-06-17 12:10:38,24,27
2025-06-17 12:10:43,24,27
2025-06-17 12:10:48,24,27
2025-06-17 12:10:53,24,27
2025-06-17 12:10:58,24,27
2025-06-17 12:11:03,24,27
2025-06-17 12:11:08,24,27
2025-06-17 12:11:13,24,27
2025-06-17 12:11:18,24,27
2025-06-17 12:11:23,24,27
2025-06-17 12:11:28,24,27
2025-06-17 12:11:33,24,27
2025-06-17 12:11:38,24,27
2025-06-17 12:24:55,24,28
2025-06-17 12:25:00,24,28
2025-06-17 12:25:05,24,28
2025-06-17 12:25:10,24,28
2025-06-17 12:25:15,24,28
2025-06-17 12:25:20,24,28
2025-06-17 12:25:25,24,28
2025-06-17 12:25:30,24,28
2025-06-17 12:25:35,24,28
2025-06-17 12:25:40,24,28
2025-06-17 12:25:45,24,28
2025-06-17 12:25:50,24,28
2025-06-17 12:25:55,24,28
2025-06-17 12:26:00,24,28
2025-06-17 12:26:05,24,28
2025-06-17 12:26:10,24,28
2025-06-17 12:26:15,24,28
2025-06-17 12:26:20,24,28
2025-06-17 12:26:25,24,28
2025-06-17 12:26:30,24,28
2025-06-17 12:26:35,24,28
2025-06-17 12:26:40,24,28
2025-06-17 12:26:45,24,28
2025-06-17 12:26:50,24,28
2025-06-17 12:26:55,24,28
2025-06-17 12:27:00,24,28
2025-06-24 10:20:43,21,19
2025-06-24 10:20:44,21,19
2025-06-24 10:20:45,21,19
2025-06-24 10:20:46,21,19
2025-06-24 10:20:47,21,19
2025-06-24 10:20:48,21,19
2025-06-24 10:20:49,21,19
2025-06-24 10:20:50,21,19
2025-06-24 10:20:51,21,19
2025-06-24 10:20:52,21,19
2025-06-24 10:20:54,21,19
2025-06-24 10:20:55,21,19
2025-06-24 10:20:56,21,19
2025-06-24 10:20:57,21,19
2025-06-24 10:20:58,21,19
2025-06-24 10:20:59,21,19
2025-06-24 10:21:00,21,19
2025-06-24 10:21:01,21,19
2025-06-24 10:21:02,21,19
2025-06-24 10:21:03,21,19
2025-06-24 10:21:04,21,19
2025-06-24 10:21:05,21,19
2025-06-24 10:21:06,21,19
2025-06-24 10:21:07,21,19
2025-06-24 10:21:55,21,19
2025-06-24 10:24:54,21,20
